id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a,prediction-dynamic
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4568621,0.6476832498874592,0.5444073652766686,0.622468796251974,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4515724,0.6050387583359609,0.4004224071595368,0.6190795578015161,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 0. 1.],0.46003777,0.41770567766141387,0.5344118924687161,0.6788430181334572,[0. 1. 1. 0. 0. 1.]
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4510873,0.5399434733105684,0.007252725509203084,0.4386762434844189,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],0.45738435,0.48697267593926297,0.41446935435870425,0.7369914938260711,[1. 0. 1. 0. 1. 0.]
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45413423,0.5177378534835069,0.4631957528925256,0.5465813221173021,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 0. 1. 0. 0. 0.],0.4589558,0.5320820639764856,0.5798959833996398,0.5791653071274725,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.45487404,0.4801001056175485,0.4897390628749889,0.7229275495251626,[1. 1. 0. 0. 0. 0.]
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45337546,0.5309659764252723,0.2700731951264686,0.44562492076762594,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.45853353,0.4817663544232971,0.5794713084161678,0.7124625755070035,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.45531464,0.5346932675512788,0.5659150221142637,0.7088389211488898,[1. 1. 0. 0. 0. 0.]
-AUZQgSxyPQ[0],the perfect soul mate to the spot therapy brush this gentle ph balanced and containing and fruit oils and bamboo and prickly bear extracts deliver intense healing while smooth granules buff away dead dry skin cells the,[0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],0.45827782,0.3407168324544473,0.4686486163314458,0.5535213389891701,[1. 0. 0. 0. 0. 0.]
-HeZS2-Prhc[0],so the major index tracking exchange traded funds were smartly higher at the opening bell on the stock market today the,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.44955257,0.5946973146420396,0.4269864574731238,0.46136945857295275,[1. 0. 0. 1. 0. 0.]
-HeZS2-Prhc[1],market today the august jobs report is out and it was seen overall as solid but not great the report,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 1.],0.44907662,0.4265519790537651,0.5798009274762244,0.5795354561324059,[1. 1. 0. 0. 0. 1.]
-HeZS2-Prhc[2],so a look at the gold and silver exchange traded funds gold shares popped nearly in early trade on the stock market today,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.44952372,0.43704062854401393,0.4543381219304411,0.5638394414216351,[1. 0. 0. 0. 0. 0.]
-HeZS2-Prhc[3],industry she pledged to fight unjustified of drugs if,[1. 0. 1. 0. 1. 0.],[1. 0. 1. 0. 0. 0.],0.46097842,0.5947033340536187,0.5796955942626771,0.8482397478901283,[1. 0. 1. 0. 0. 0.]
-MeTTeMJBNc[0],okay what happens at this point after we've taken this brief walk down memory lane is the presentation of the gift now,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4558956,0.4446205410416007,0.4953733328219178,0.6578259886787409,[1. 0. 0. 0. 0. 0.]
-MeTTeMJBNc[1],whatever it is it just needs to be a simple statement and then you present the gift,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 1.],0.4507428,0.32510862961939335,0.4177252106847943,0.47512292110961085,[1. 1. 0. 0. 0. 1.]
-MeTTeMJBNc[2],panic a thinking oh my gosh fiftieth wedding anniversary fortieth wedding anniversary i've got to come up with something really good,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45086712,0.6943505671037258,0.2454342390041625,0.39302276218411925,[1. 0. 0. 0. 0. 0.]
-MeTTeMJBNc[3],picture maybe you could find a picture of the couple from their wedding or sometime in their life or maybe even a current picture and have it put in a beautiful frame,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45215815,0.5213454886579167,0.41447088195159953,0.4947834368735109,[1. 0. 0. 0. 0. 0.]
-RfYyzHpjk4[0],so get your friends lined up get your business colleagues lined up and have a good time kathy,[1. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45526347,0.4963505460322815,0.47686963750955286,0.6255749568291509,[1. 0. 0. 0. 0. 0.]
-RfYyzHpjk4[1],you can make a conference call but it takes quite a bit of planning well not a lot of planning it's pretty easy to do what has,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45609927,0.49860977520136057,0.4438714754311427,0.618650773830847,[1. 0. 0. 0. 0. 0.]
-RfYyzHpjk4[2],doing it's pretty pretty easy to do but you got to set up those numbers ahead of time you,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4567936,0.5306359634117459,0.5751729420215147,0.6472219687168003,[1. 0. 0. 0. 0. 0.]
-RfYyzHpjk4[3],time you can use it for personal use family friends internationally as long as they can call the states you've got a free conference call that can take place,[1. 0. 1. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],0.45614892,0.40164923713575973,0.5107760880256138,0.6659520591188008,[1. 0. 0. 0. 0. 0.]
-UUCSKoHeMA[0],i mentioned a word in the last clip called and i want to talk about that briefly what you don't,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45362514,0.4281458390044885,0.44425755720790344,0.7288287418789511,[1. 0. 0. 0. 0. 0.]
-UUCSKoHeMA[1],monotone now the big problem with being monotone obviously you'll put your audience to sleep a,[0. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4575857,0.5338611662381492,0.5661903686543261,0.6481893517848861,[1. 0. 0. 0. 0. 0.]
-UUCSKoHeMA[2],monotone what monotone is is it means that you use only one pitch in your voice so that everything sounds exactly the same,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45803255,0.3059993786411592,0.5654247368773221,0.6828665985397434,[1. 0. 0. 0. 0. 0.]
-UUCSKoHeMA[3],three pitches two pitches always better than one which will leave you monotone now the big problem,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.46253064,0.39767649381622655,0.5798985561876738,0.6389796842797311,[1. 0. 0. 0. 0. 0.]
-cEhr0cQcDM[0],information and i think that feeling of empowerment is much more valuable than the feeling you get on television not,[1. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45542565,0.32957458803723516,0.549528601051081,0.5874442056934164,[1. 0. 0. 0. 0. 0.]
-cEhr0cQcDM[1],night before well they're not necessarily going to remember all that but they'll see that ad it gets triggered and they click on it they have,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.45391202,0.31353841835307794,0.5313478544022102,0.6540737469113609,[1. 1. 0. 0. 0. 0.]
-ri04Z7vwnc[0],going to get married or are already married i think finances,[0. 1. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],0.45728135,0.41730046054419884,0.36140114313574545,0.8197195120001506,[0. 0. 0. 0. 0. 0.]
-ri04Z7vwnc[1],married i think finances for some reason has been a very delicate issue between couples most people,[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 1.],0.45410722,0.5057155223915331,0.45688096387618465,0.65441657843399,[0. 1. 0. 0. 0. 1.]
-ri04Z7vwnc[2],couples most people think it'll sort itself out we'll discuss it later it's not something too important yet it,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.45623878,0.5840515192677738,0.38333872033931304,0.6298328456465987,[0. 1. 1. 0. 0. 0.]
-ri04Z7vwnc[3],spouse so i think it's important to discuss finances i think,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4566246,0.4697811155901614,0.4797384625115743,0.6689854193668561,[1. 1. 0. 0. 0. 0.]
-ri04Z7vwnc[4],finances i think first it's important for individuals who are in a relationship or in a marriage to acknowledged to themselves what really are their financial goals what do they really,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 1.],0.45617944,0.49217342301761385,0.5023299797771376,0.5439873885071822,[1. 0. 0. 0. 0. 1.]
-ri04Z7vwnc[5],financial goals what do they really want you know maybe a fancy car maybe a bigger house maybe a trip abroad what do they,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45519853,0.4325356963632491,0.547350074762642,0.407078025500197,[1. 0. 0. 0. 0. 0.]
-rxZxtG0xmY[0],i am a mother of two children who have finished their studies have done their masters but are now unemployed i,[0. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 1.],0.4555087,0.408706408585458,0.5718235629097064,0.6685869339774412,[0. 1. 0. 0. 0. 1.]
-rxZxtG0xmY[1],leave greece because of the financial recession many graduates leave the country to make a better future i will try,[0. 1. 1. 0. 0. 1.],[0. 1. 0. 0. 0. 0.],0.46208903,0.450823087436995,0.5795489994065538,0.7514325250276579,[0. 1. 0. 0. 0. 0.]
-s9qJ7ATP7w[0],they have doubt they have fear they lose in a ferrari race or they lose in a race and then they just give up but,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.46378455,0.6378677952009921,0.758429638107837,0.6355239106427173,[0. 1. 1. 0. 1. 1.]
-s9qJ7ATP7w[1],up but the hardest thing in life to learn is to lose easy,[1. 1. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],0.45973226,0.5774977289947876,0.40394126036588573,0.6269819923292437,[1. 0. 0. 0. 0. 0.]
-s9qJ7ATP7w[2],lose easy you win you're happy you get a high five your friends are happy it's your,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4544878,0.3932005445065814,0.26713648511604005,0.7107649949848103,[1. 0. 0. 0. 0. 0.]
-s9qJ7ATP7w[3],happy it's your ability to take a loss get up the next day dust yourself off and keep going i have lost,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45236775,0.3551239454480559,0.48591273793316325,0.5645766009453401,[1. 0. 0. 0. 0. 0.]
-s9qJ7ATP7w[4],and keep going i have lost at everything you can imagine seriously i,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.44860643,0.4732151566106714,0.2639769212041663,0.5874238178774603,[1. 0. 0. 1. 0. 0.]
-s9qJ7ATP7w[5],seriously i have been beat up and put down and everything that can go wrong has gone wrong for me but i,[0. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 1.],0.4527464,0.4954992600345754,0.5788392439834639,0.571810464370392,[1. 1. 0. 0. 0. 1.]
-s9qJ7ATP7w[6],for me but i just kept going i used,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45451587,0.49360861471276557,0.5793453332917289,0.4752349288562382,[1. 0. 0. 0. 0. 0.]
-s9qJ7ATP7w[7],going i used to work for warren avis the guy who started avis rent a car and he said to me one day robert what's the purpose of business and i said oh,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.45468998,0.403570245799098,0.5790819981785604,0.5978409883589362,[1. 0. 1. 0. 0. 1.]
-s9qJ7ATP7w[8],of business and i said oh make a profit and all these other things and he said no,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],0.4563365,0.5312155192259111,0.46775375740374864,0.7538241528073221,[1. 1. 1. 1. 1. 1.]
-s9qJ7ATP7w[9],these other things and he said no the purpose of business is to create a customer because everything else takes care of itself it,[1. 1. 0. 1. 1. 0.],[1. 0. 0. 0. 0. 1.],0.45085698,0.5210186955741001,0.5299736556763197,0.6164549002532007,[1. 0. 0. 0. 0. 1.]
-yRb-Jum7EQ[0],vacuum it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas this,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.45674354,0.36802195902366497,0.6289989613061413,0.9325912022939329,[0. 1. 1. 0. 1. 1.]
-yRb-Jum7EQ[1],second the terrorism by those wielding knives the palestinian children also does not exist in a vacuum it comes,[0. 1. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.46170378,0.19953826102850358,0.7376370707926609,0.856608264071662,[0. 1. 1. 0. 1. 1.]
-yRb-Jum7EQ[2],a vacuum it comes from the palestinian education system which is controlled by the palestinian authority yesterday gelman,[0. 0. 0. 0. 1. 0.],[0. 1. 1. 0. 1. 1.],0.4608507,0.6265464592743692,0.606289034798192,0.7536820059240013,[0. 1. 1. 0. 1. 1.]
-yRb-Jum7EQ[3],authority yesterday gelman lost his life in another terrorist attack not by the students of terrorism but by those who teach terrorism a palestinian teacher therefore the world,[0. 1. 1. 0. 1. 0.],[0. 0. 1. 0. 1. 0.],0.45894915,0.26875847046919943,0.5502152096990671,0.8934143816850104,[1. 1. 1. 0. 0. 0.]
-yRb-Jum7EQ[4],teacher therefore the world needs to stand with israel against this incitement which is the number one cause of terrorism,[1. 1. 1. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],0.45550877,0.5442452573579974,0.3349764281465285,0.7822713183410994,[1. 0. 1. 0. 1. 0.]
0Fqav67TDEw[0],better so a very good way of helping yourself to remember your dreams better on a consistent basis is to keep a dream journal so,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4557442,0.5400741555067751,0.5014962356548527,0.6065296820770302,[1. 0. 0. 0. 0. 0.]
0JaYazphxfM[0],onions however i feel it tastes better without onions because onions release water which makes the sticky keep,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45502847,0.3449408651850222,0.5798594279075892,0.6519390609554355,[1. 1. 0. 0. 0. 0.]
0JaYazphxfM[1],sticky keep asking me questions like this and i will try to solve any kitchen problems you might face,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45132267,0.5682516552847523,0.4869431353821996,0.47123377458460003,[1. 0. 0. 0. 0. 0.]
0K7dCp80n9c[0],you crazy so it helps keep your resin doing what it's supposed to do it's really,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45631862,0.28934912911955624,0.4847837622253697,0.6394038721323503,[1. 0. 0. 0. 0. 0.]
0K7dCp80n9c[1],supposed to do it's really designed for well water because that's the kind of water that typically will have an iron problem so,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45712295,0.5358549176334446,0.5123130668840747,0.6742608257656848,[1. 0. 0. 0. 0. 0.]
0K7dCp80n9c[2],rust out is a water softener resin cleaner specifically designed for well water or water that is iron bearing,[0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],0.4594598,0.2797427246029822,0.5792556544398566,0.6368942852092419,[1. 0. 0. 0. 0. 0.]
0K7dCp80n9c[3],it it's commonly the culprit behind those nasty iron stains in your toilet bowls or in your tub or even in your laundry sometimes and,[1. 0. 0. 0. 0. 1.],[0. 1. 1. 0. 1. 1.],0.4567699,0.5425871179399673,0.5167353263300916,0.5200167673751774,[0. 1. 1. 0. 1. 1.]
0K7dCp80n9c[4],sometimes and if your softener is working properly and you have low levels of iron your softener should be able to handle it,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 1.],0.46027243,0.14705611864830626,0.558501810634234,0.5946326901677842,[1. 1. 0. 0. 0. 1.]
